[2026-05-29 08:18:06] Experiment started.
[2026-05-29 08:18:06] Result folder: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806
[2026-05-29 08:18:06] Dataset: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\bankreshape.xlsx
[2026-05-29 08:18:06] Settings: pop=30, maxIter=100, runs=30, fitnessKFolds=5, metricKFolds=10, seedBase=20260529
[2026-05-29 08:18:06] Algorithms: QHDBO, IDBO, DBO, WOA, GWO, HHO, EVO, PO, NRBO, CPO, SWO, MSDBO
[2026-05-29 08:18:06] Algorithm 01/12 started: QHDBO
[2026-05-29 08:24:28] Algorithm 01/12 QHDBO run 27/30 OK: ACC=72.9246, MCC=0.4636, Sensitivity=70.6137, Specificity=76.5660, optTime=12.63s, evalTime=0.01s, totalTime=12.64s
[2026-05-29 08:24:41] Algorithm 01/12 QHDBO run 28/30 OK: ACC=74.5065, MCC=0.4986, Sensitivity=71.7748, Specificity=78.8287, optTime=12.65s, evalTime=0.01s, totalTime=12.66s
[2026-05-29 08:24:54] Algorithm 01/12 QHDBO run 29/30 OK: ACC=73.7464, MCC=0.4789, Sensitivity=70.6425, Specificity=77.3783, optTime=13.00s, evalTime=0.01s, totalTime=13.01s
[2026-05-29 08:25:07] Algorithm 01/12 QHDBO run 30/30 OK: ACC=77.5275, MCC=0.5623, Sensitivity=76.1263, Specificity=81.3884, optTime=12.76s, evalTime=0.01s, totalTime=12.77s
[2026-05-29 08:25:07] Algorithm 01/12 finished: QHDBO. Checkpoint saved: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806\bankreshape_checkpoint.mat
[2026-05-29 08:25:07] Algorithm 02/12 started: IDBO
[2026-05-29 08:25:34] Algorithm 02/12 IDBO run 01/30 OK: ACC=78.3290, MCC=0.5728, Sensitivity=77.1441, Specificity=80.6793, optTime=27.26s, evalTime=0.01s, totalTime=27.28s
[2026-05-29 08:26:01] Algorithm 02/12 IDBO run 02/30 OK: ACC=76.5899, MCC=0.5414, Sensitivity=74.3178, Specificity=80.4584, optTime=27.24s, evalTime=0.01s, totalTime=27.25s
[2026-05-29 08:26:28] Algorithm 02/12 IDBO run 03/30 OK: ACC=73.2384, MCC=0.4687, Sensitivity=70.8544, Specificity=76.5354, optTime=26.44s, evalTime=0.01s, totalTime=26.45s
[2026-05-29 08:26:55] Algorithm 02/12 IDBO run 04/30 OK: ACC=75.5746, MCC=0.5210, Sensitivity=74.2320, Specificity=78.6208, optTime=26.99s, evalTime=0.01s, totalTime=27.01s
[2026-05-29 08:27:22] Algorithm 02/12 IDBO run 05/30 OK: ACC=76.6913, MCC=0.5367, Sensitivity=75.4073, Specificity=78.9138, optTime=27.07s, evalTime=0.01s, totalTime=27.08s
[2026-05-29 08:27:49] Algorithm 02/12 IDBO run 06/30 OK: ACC=75.4703, MCC=0.5167, Sensitivity=73.6437, Specificity=78.8943, optTime=26.83s, evalTime=0.01s, totalTime=26.84s
[2026-05-29 08:28:15] Algorithm 02/12 IDBO run 07/30 OK: ACC=76.5812, MCC=0.5335, Sensitivity=74.6340, Specificity=78.8525, optTime=26.76s, evalTime=0.01s, totalTime=26.77s
[2026-05-29 08:28:43] Algorithm 02/12 IDBO run 08/30 OK: ACC=75.8036, MCC=0.5248, Sensitivity=73.7614, Specificity=79.3602, optTime=27.10s, evalTime=0.01s, totalTime=27.11s
[2026-05-29 08:29:09] Algorithm 02/12 IDBO run 09/30 OK: ACC=82.5051, MCC=0.6628, Sensitivity=81.7670, Specificity=85.5169, optTime=26.86s, evalTime=0.01s, totalTime=26.88s
[2026-05-29 08:29:36] Algorithm 02/12 IDBO run 10/30 OK: ACC=76.0080, MCC=0.5261, Sensitivity=74.2716, Specificity=78.7378, optTime=26.16s, evalTime=0.01s, totalTime=26.17s
[2026-05-29 08:30:03] Algorithm 02/12 IDBO run 11/30 OK: ACC=77.0746, MCC=0.5517, Sensitivity=74.3925, Specificity=81.4336, optTime=27.18s, evalTime=0.01s, totalTime=27.19s
[2026-05-29 08:30:30] Algorithm 02/12 IDBO run 12/30 OK: ACC=77.8746, MCC=0.5658, Sensitivity=75.6959, Specificity=81.3489, optTime=26.72s, evalTime=0.01s, totalTime=26.73s
[2026-05-29 08:30:56] Algorithm 02/12 IDBO run 13/30 OK: ACC=75.8232, MCC=0.5244, Sensitivity=73.8611, Specificity=79.1520, optTime=26.29s, evalTime=0.01s, totalTime=26.30s
[2026-05-29 08:31:22] Algorithm 02/12 IDBO run 14/30 OK: ACC=77.4341, MCC=0.5592, Sensitivity=75.4749, Specificity=81.5118, optTime=26.51s, evalTime=0.01s, totalTime=26.52s
[2026-05-29 08:31:50] Algorithm 02/12 IDBO run 15/30 OK: ACC=76.2326, MCC=0.5322, Sensitivity=74.6105, Specificity=79.3723, optTime=27.96s, evalTime=0.01s, totalTime=27.97s
[2026-05-29 08:32:17] Algorithm 02/12 IDBO run 16/30 OK: ACC=76.1312, MCC=0.5356, Sensitivity=74.3849, Specificity=80.0552, optTime=26.40s, evalTime=0.01s, totalTime=26.41s
[2026-05-29 08:32:44] Algorithm 02/12 IDBO run 17/30 OK: ACC=82.9413, MCC=0.6657, Sensitivity=80.5548, Specificity=86.7570, optTime=26.79s, evalTime=0.01s, totalTime=26.80s
[2026-05-29 08:33:10] Algorithm 02/12 IDBO run 18/30 OK: ACC=75.7616, MCC=0.5267, Sensitivity=75.1134, Specificity=78.8284, optTime=26.25s, evalTime=0.01s, totalTime=26.26s
[2026-05-29 08:33:36] Algorithm 02/12 IDBO run 19/30 OK: ACC=72.8674, MCC=0.4620, Sensitivity=70.7040, Specificity=76.0740, optTime=26.27s, evalTime=0.01s, totalTime=26.28s
[2026-05-29 08:34:03] Algorithm 02/12 IDBO run 20/30 OK: ACC=77.1732, MCC=0.5453, Sensitivity=74.4153, Specificity=80.3112, optTime=26.66s, evalTime=0.02s, totalTime=26.68s
