Dataset,Algorithm,Run,Status,ErrorMessage,BestScore,BestC,BestKernelParameter,ACC,MCC,Sensitivity,Specificity,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
bankreshape,QHDBO,16,ok,,0.254032783326096,20,1,76.1311594202898,0.535617081308614,74.3849483849484,80.0551948051948,13.1202387,0.0110487,13.1312901
bankreshape,QHDBO,17,ok,,0.283380373425966,1.00962922676536,1,73.2811594202899,0.467655899852169,70.3461538461539,76.6853146853147,13.9662339,0.0112593,13.9774966
bankreshape,QHDBO,18,ok,,0.262937834708352,2.27713989655998,1,74.1115942028986,0.496121388004226,71.5439976689977,79.1339771339771,14.5453774,0.0128213,14.5582014
bankreshape,QHDBO,19,ok,,0.266196265740339,1.23538909619536,1,72.9246376811594,0.468863745339224,70.077602952603,77.6391663891664,15.2159418,0.0121485,15.2280942
bankreshape,QHDBO,20,ok,,0.229808944854538,8.19450182261063,1,77.1731884057971,0.545258488579703,74.4153069153069,80.3111888111888,14.0480878,0.0140789,14.0621704
bankreshape,QHDBO,21,ok,,0.266666666666667,1.90721803347947,1,70.8188405797101,0.422958524414022,69.3068043068043,73.487012987013,14.6094263,0.0136784,14.6231082
bankreshape,QHDBO,22,ok,,0.249348675640469,17.0694207802728,1,76.2050724637681,0.529040237640152,72.8726273726274,80.1468531468531,14.3245233,0.0115833,14.3361108
bankreshape,QHDBO,23,ok,,0.258391228831958,1.86176205774656,1.43357752926031,71.9478260869565,0.445737044291869,68.7512487512488,76.2185592185592,13.3932135,0.0108843,13.4041011
bankreshape,QHDBO,24,ok,,0.271490085395861,1.16428292953601,1,72.4884057971014,0.45234654852762,69.3699633699634,76.031968031968,13.2675671,0.0119275,13.2794976
bankreshape,QHDBO,25,ok,,0.257947966420611,2.210288616871,1,71.1115942028985,0.432834231664991,70.0703463203463,74.2335972850679,12.9068453,0.0128209,12.9196694
bankreshape,QHDBO,26,ok,,0.262196048632219,1,7.39148468867452,72.1275362318841,0.44929292406743,69.9080086580087,75.8088235294118,12.4348975,0.0118123,12.4467122
bankreshape,QHDBO,27,ok,,0.271064915327833,1.2544077354831,1,72.9246376811594,0.46363067671037,70.6136918636919,76.5660173160173,12.6290199,0.0124585,12.6414819
bankreshape,QHDBO,28,ok,,0.229202851353307,16.0162228443495,1,74.5065217391304,0.498607293658642,71.7747668997669,78.8286713286713,12.6452932,0.0118415,12.6571376
bankreshape,QHDBO,29,ok,,0.245880373425966,2.73386857801034,1,73.7463768115942,0.478936163371775,70.6425241425241,77.3782883782884,13.0021868,0.0111083,13.0132984
bankreshape,QHDBO,30,ok,,0.241628672745694,17.7506985407401,1,77.5275362318841,0.562250669097089,76.1262626262626,81.3884285648992,12.7589448,0.0112113,12.7701591
bankreshape,IDBO,1,ok,,0.241572586481401,18.7086267951657,1,78.3289855072464,0.572838694865027,77.1441107911696,80.6793206793207,27.2642403,0.0124249,27.2766684
bankreshape,IDBO,2,ok,,0.225649515125199,5.37749691583501,1,76.5898550724638,0.541350420676037,74.3178488178488,80.4584304584304,27.2404659,0.011081,27.2515512
bankreshape,IDBO,3,ok,,0.225047040092633,13.7898763140806,1,73.2384057971015,0.468650071997334,70.8544094794095,76.5353812853813,26.4376969,0.0117168,26.4494168
bankreshape,IDBO,4,ok,,0.241720943696628,3.88316678046764,1,75.5746376811594,0.521034967425283,74.2319902319902,78.6208236208236,26.9941946,0.0115212,27.0057189
bankreshape,IDBO,5,ok,,0.216795122304241,2.16232825029421,0.336273714973212,76.6913043478261,0.536725787442833,75.4073426573427,78.9138084138084,27.0721342,0.0122151,27.0843523
bankreshape,IDBO,6,ok,,0.250341945288754,4.78981490362547,1,75.4702898550725,0.516656697568958,73.6437451437452,78.8943278943279,26.8252483,0.0111574,26.836409
bankreshape,IDBO,7,ok,,0.232848458532349,9.33885873405287,1,76.5811594202899,0.533498962098258,74.6340326340326,78.8524808524809,26.7551721,0.0118001,26.7669755
bankreshape,IDBO,8,ok,,0.220607179041829,18.0933318703177,1.11356064434096,75.8036231884058,0.524809350495665,73.7613636363636,79.3601953601953,27.1012707,0.0115894,27.1128633
bankreshape,IDBO,9,ok,,0.2,3.63984733444875,0.11969912903057,82.5050724637681,0.662800659917278,81.766983016983,85.5169348625231,26.8646025,0.0113748,26.8759802
bankreshape,IDBO,10,ok,,0.221171660153423,19.3723978520644,1,76.0079710144928,0.526092039439461,74.2716499187087,78.7377622377622,26.1556676,0.011723,26.1673934
bankreshape,IDBO,11,ok,,0.25012483716891,19.5532148758921,1,77.0746376811594,0.551720627654519,74.3924825174825,81.4335664335664,27.1834246,0.0110577,27.1944848
bankreshape,IDBO,12,ok,,0.236718410768563,12.0994283590996,1,77.8746376811594,0.565760244650402,75.6958874458875,81.3489010989011,26.7169815,0.0108405,26.727825
bankreshape,IDBO,13,ok,,0.228898899985526,20,1,75.8231884057971,0.524360494253925,73.8611388611389,79.1519591519591,26.2934564,0.010671,26.30413
bankreshape,IDBO,14,ok,,0.220833333333333,14.6949060708411,0.881694432762831,77.4340579710145,0.559200906195417,75.4749417249417,81.5118215118215,26.5097335,0.0128997,26.5226362
bankreshape,IDBO,15,ok,,0.203855478361557,10.753275743629,1,76.2326086956522,0.53219408985719,74.6105006105006,79.3722943722944,27.9593343,0.0114828,27.9708201
bankreshape,IDBO,16,ok,,0.254032783326096,20,1,76.1311594202898,0.535617081308614,74.3849483849484,80.0551948051948,26.4015322,0.0115705,26.4131053
bankreshape,IDBO,17,ok,,0.199685193226227,3.16854174339309,0.10679764532222,82.9413043478261,0.66566274241811,80.5548201798202,86.7570207570208,26.7886259,0.0112448,26.7998736
bankreshape,IDBO,18,ok,,0.245310464611377,16.8471451522149,1,75.7615942028985,0.526663368020635,75.1134421134421,78.8284215784216,26.246477,0.0105449,26.2570246
bankreshape,IDBO,19,ok,,0.233203068461427,18.6749655786284,1,72.8673913043478,0.461958915681789,70.7039904539905,76.0740093240093,26.2707764,0.0113083,26.2820888
bankreshape,IDBO,20,ok,,0.229808944854538,8.39817741254166,1,77.1731884057971,0.545258488579703,74.4153069153069,80.3111888111888,26.6628351,0.0155464,26.6783851
bankreshape,IDBO,21,ok,,0.25,20,1,77.5398550724638,0.554653524312332,76.2894882894883,79.5534465534466,26.387332,0.0121596,26.3994947
bankreshape,IDBO,22,ok,,0.249348675640469,18.4851133698528,1,76.6217391304348,0.536878486790147,73.478687978688,80.3391608391608,26.2265082,0.0108796,26.2373906
bankreshape,IDBO,23,ok,,0.175043421623969,5.26413200890567,0.0897950879944851,82.7869565217391,0.659164862874061,80.1798756798757,86.035298035298,26.5925112,0.0108246,26.603339
bankreshape,IDBO,24,ok,,0.179369300911854,15.799994496353,0.166944112819444,83.7442028985507,0.684725866066142,81.8091630591631,87.2994505494506,26.374194,0.0111443,26.3853412
bankreshape,IDBO,25,ok,,0.249525980605008,10.0265380295508,20,68.6949275362319,0.383431483776099,67.1616716616717,71.9906270200388,26.2103461,0.0105246,26.2208739
bankreshape,IDBO,26,ok,,0.225128455637574,3.95401030749396,1,74.5594202898551,0.499361400900097,72.3140193140193,78.3766168472051,26.7150185,0.0110839,26.7261049
bankreshape,IDBO,27,ok,,0.187451150673035,5.70831247403906,0.136228765930047,80.045652173913,0.602162707757647,79.2380952380953,81.3484848484848,26.5314143,0.0216028,26.5530205
bankreshape,IDBO,28,ok,,0.229202851353307,15.9308212746513,1,74.5065217391304,0.498607293658642,71.7747668997669,78.8286713286713,26.3480412,0.011309,26.3593532
bankreshape,IDBO,29,ok,,0.245880373425966,2.86187443479009,1,73.7463768115942,0.478936163371775,70.6425241425241,77.3782883782884,27.1110174,0.0108462,27.1218667
bankreshape,IDBO,30,ok,,0.237543421623969,2.19873115562633,0.735234310904367,76.745652173913,0.545639718761657,75.957708957709,79.7480436230436,26.5936284,0.0107826,26.604415
bankreshape,DBO,1,ok,,0.241572586481401,20,1,78.3289855072464,0.572838694865027,77.1441107911696,80.6793206793207,13.3468069,0.0119559,13.3587658
bankreshape,DBO,2,ok,,0.225649515125199,5.2332203267744,1,76.5898550724638,0.541350420676037,74.3178488178488,80.4584304584304,13.2719382,0.0108637,13.2828051
bankreshape,DBO,3,ok,,0.224962006079027,11.6808146876373,1.27165983560695,71.5884057971014,0.439325422749323,69.2473082473083,75.1926961926962,13.181515,0.0101116,13.1916293
bankreshape,DBO,4,ok,,0.241720943696628,3.90476976578876,1,75.5746376811594,0.521034967425283,74.2319902319902,78.6208236208236,13.1209027,0.0108957,13.1318014
bankreshape,DBO,5,ok,,0.237720726588508,19.0702382251453,1,74.6246376811594,0.494531993168792,72.6630591630592,77.1172161172161,13.2622132,0.0115885,13.2738045
bankreshape,DBO,6,ok,,0.250341945288754,4.38605768887152,1,75.4702898550725,0.516656697568958,73.6437451437452,78.8943278943279,13.2091339,0.010579,13.2197155
bankreshape,DBO,7,ok,,0.232848458532349,9.56586587438898,1,76.5811594202899,0.533498962098258,74.6340326340326,78.8524808524809,14.8544143,0.0140997,14.8685186
bankreshape,DBO,8,ok,,0.220692213055435,11.5378617754237,1,76.2202898550725,0.535408493222351,74.0113636363636,80.3324175824176,14.4757694,0.0116813,14.4874539
bankreshape,DBO,9,ok,,0.216666666666667,18.1122560042182,1.02446265915289,74.9978260869565,0.510929370928563,72.5459671047906,79.3039183039183,13.5786188,0.0126732,13.5912954
bankreshape,DBO,10,ok,,0.221171660153423,20,1,76.0079710144928,0.526092039439461,74.2716499187087,78.7377622377622,13.9482968,0.0116622,13.9599619
bankreshape,DBO,11,ok,,0.25012483716891,20,1,77.0746376811594,0.551720627654519,74.3924825174825,81.4335664335664,14.1339122,0.0110709,14.1449864
bankreshape,DBO,12,ok,,0.236718410768563,11.7884407209148,1,77.8746376811594,0.565760244650402,75.6958874458875,81.3489010989011,13.8998734,0.0113727,13.9112492
bankreshape,DBO,13,ok,,0.228898899985526,20,1,75.8231884057971,0.524360494253925,73.8611388611389,79.1519591519591,14.0258733,0.0121568,14.038033
bankreshape,DBO,14,ok,,0.220833333333333,20,1,78.7021739130435,0.582828480458498,76.9078421578422,82.2810522810523,13.8145094,0.011602,13.8261147
bankreshape,DBO,15,ok,,0.203596757852077,18.439615633795,1.41299029661555,75.7978260869565,0.52443409049226,74.1159951159951,79.1500721500721,13.8484878,0.0118173,13.8603078
bankreshape,DBO,16,ok,,0.254032783326096,20,1,76.1311594202898,0.535617081308614,74.3849483849484,80.0551948051948,13.9901119,0.0131053,14.0032207
bankreshape,DBO,17,ok,,0.237451150673035,15.8628291936176,1.03588085722487,79.1702898550725,0.586862698890032,76.5633255633256,82.512654012654,13.8323859,0.0114584,13.8438471
bankreshape,DBO,18,ok,,0.245310464611377,16.7188678913442,1,75.7615942028985,0.526663368020635,75.1134421134421,78.8284215784216,14.7513921,0.0200219,14.7714176
bankreshape,DBO,19,ok,,0.233203068461427,18.9961459055994,1,72.8673913043478,0.461958915681789,70.7039904539905,76.0740093240093,22.7623869,0.012967,22.7753586
bankreshape,DBO,20,ok,,0.229808944854538,8.82483635010973,1,77.1731884057971,0.544558581117755,74.7637917637918,79.9632034632035,17.5607258,0.0109454,17.5716746
bankreshape,DBO,21,ok,,0.25,20,1,77.5398550724638,0.554653524312332,76.2894882894883,79.5534465534466,17.1079157,0.0135626,17.1214815
bankreshape,DBO,22,ok,,0.249348675640469,20,1,77.0384057971014,0.544108721289205,73.9731934731935,80.520979020979,16.5216836,0.0129481,16.5346347
bankreshape,DBO,23,ok,,0.229302359241569,20,1.14599133223327,75.6449275362319,0.519246633749831,72.477355977356,79.8513708513708,14.7649855,0.0132568,14.7782463
