Rank,Algorithm,TotalRuntimeSeconds_Mean,TotalRuntimeSeconds_Std,ReferenceRuntimeSeconds
1,SWO,0.68055993,0.0337886396580388,0.668889086666667
2,CPO,0.69677872,0.0425101071287061,0.68461188
3,MSDBO,12.5128471033333,0.423733156625884,12.5012050233333
4,NRBO,13.2366738466667,0.141020152166668,13.2235509033333
5,QHDBO,14.01216562,1.05438937530397,13.9953128933333
6,GWO,14.1995813433333,0.884551361519511,14.18607846
7,WOA,14.7291340666667,1.0303712570932,14.7164325866667
8,DBO,15.0145536833333,2.3068684524643,15.0019968866667
9,EVO,20.8259434533333,6.70626643320062,20.8136381433333
10,IDBO,26.70629674,0.412204626885654,26.69446271
11,HHO,33.60566858,1.46529831095515,33.5934660433333
12,PO,390.766205353333,14.5445676996486,390.753495346667
