"Algorithm","Run","Seed","Status","OptimizationRuntimeSeconds","EvaluationRuntimeSeconds","TotalRuntimeSeconds"
"WOA","4","20260533","ok","14.3093004","0.0120932","14.3213964"
"WOA","5","20260534","ok","14.9249907","0.0122141","14.937208"
"WOA","6","20260535","ok","14.249506","0.0125971","14.2621059"
"WOA","7","20260536","ok","14.697092","0.0107162","14.7078111"
"WOA","8","20260537","ok","14.8552565","0.0138832","14.8691433"
"WOA","9","20260538","ok","16.4854336","0.0111846","16.4966214"
"WOA","10","20260539","ok","16.3232888","0.0169475","16.3402396"
"WOA","11","20260540","ok","15.9211222","0.0279841","15.9491095"
"WOA","12","20260541","ok","16.7914297","0.0131157","16.8045527"
"WOA","13","20260542","ok","17.0254791","0.0117498","17.0372322"
"WOA","14","20260543","ok","14.9986005","0.0109573","15.0095609"
"WOA","15","20260544","ok","14.2534824","0.0124454","14.2659317"
"WOA","16","20260545","ok","15.0264863","0.0119948","15.038485"
"WOA","17","20260546","ok","14.3732615","0.0112107","14.3844853"
"WOA","18","20260547","ok","14.4376774","0.0115111","14.4491916"
"WOA","19","20260548","ok","13.9170269","0.0100885","13.9271192"
"WOA","20","20260549","ok","13.9038844","0.0126457","13.9165335"
"WOA","21","20260550","ok","14.8850385","0.0118506","14.896892"
"WOA","22","20260551","ok","13.5408282","0.0135251","13.5543562"
"WOA","23","20260552","ok","13.6784345","0.0121866","13.6906235"
"WOA","24","20260553","ok","13.8562159","0.0115088","13.8677278"
"WOA","25","20260554","ok","13.3581293","0.0098657","13.3679978"
"WOA","26","20260555","ok","13.6949729","0.0111974","13.7061733"
"WOA","27","20260556","ok","13.6211925","0.0108714","13.6320669"
"WOA","28","20260557","ok","13.5798953","0.011159","13.5910579"
"WOA","29","20260558","ok","16.0360552","0.0148772","16.0509365"
"WOA","30","20260559","ok","14.3871535","0.0119261","14.3990829"
"GWO","1","20260530","ok","13.8966171","0.0117148","13.9083356"
"GWO","2","20260531","ok","14.5015548","0.0130221","14.5145809"
"GWO","3","20260532","ok","14.2674905","0.0147529","14.2822461"
"GWO","4","20260533","ok","14.8494245","0.0111309","14.8605589"
"GWO","5","20260534","ok","13.694832","0.0136024","13.7084383"
"GWO","6","20260535","ok","13.6854936","0.0110839","13.6965802"
"GWO","7","20260536","ok","13.2137898","0.0211813","13.234974"
"GWO","8","20260537","ok","13.0726455","0.0111359","13.0837847"
"GWO","9","20260538","ok","12.9856774","0.0215197","13.0071999"
"GWO","10","20260539","ok","13.1245146","0.0110158","13.1355328"
"GWO","11","20260540","ok","13.102192","0.0100604","13.1122552"
"GWO","12","20260541","ok","13.6993443","0.0122024","13.7115501"
"GWO","13","20260542","ok","13.377929","0.0114995","13.3894317"
"GWO","14","20260543","ok","14.2225462","0.0137345","14.2362839"
"GWO","15","20260544","ok","13.148582","0.0104327","13.1590183"
"GWO","16","20260545","ok","13.8541273","0.0113776","13.8655077"
"GWO","17","20260546","ok","13.6187734","0.0213641","13.6401411"
"GWO","18","20260547","ok","13.6234798","0.012491","13.635974"
"GWO","19","20260548","ok","14.7510307","0.0172863","14.7683209"
"GWO","20","20260549","ok","16.7375393","0.0153677","16.7529109"
"GWO","21","20260550","ok","14.2335696","0.0118856","14.2454585"
"GWO","22","20260551","ok","15.1398003","0.01268","15.1524836"
"GWO","23","20260552","ok","15.0466273","0.0126049","15.0592348"
"GWO","24","20260553","ok","15.0690809","0.0115074","15.0805914"
"GWO","25","20260554","ok","13.8421819","0.0120075","13.8541929"
"GWO","26","20260555","ok","14.5074391","0.0116326","14.5190748"
"GWO","27","20260556","ok","15.4249534","0.0160163","15.4409735"
"GWO","28","20260557","ok","15.1612524","0.0152169","15.1764725"
"GWO","29","20260558","ok","14.9912128","0.0115575","15.0027733"
"GWO","30","20260559","ok","14.7386523","0.0139043","14.7525598"
"HHO","1","20260530","ok","33.4660315","0.0117334","33.4777684"
"HHO","2","20260531","ok","35.4750274","0.011772","35.486804"
"HHO","3","20260532","ok","34.4910847","0.0105078","34.5015967"
"HHO","4","20260533","ok","30.7806914","0.0122187","30.792913"
"HHO","5","20260534","ok","33.4597459","0.0122536","33.4720025"
"HHO","6","20260535","ok","32.6226016","0.0128622","32.6354673"
"HHO","7","20260536","ok","31.3947102","0.0144205","31.4091337"
"HHO","8","20260537","ok","34.8882022","0.0128538","34.9010588"
"HHO","9","20260538","ok","33.6482871","0.0104797","33.6587695"
"HHO","10","20260539","ok","32.8118372","0.010521","32.8223609"
"HHO","11","20260540","ok","34.9026658","0.0112239","34.9138929"
"HHO","12","20260541","ok","34.2894751","0.010772","34.3002512"
"HHO","13","20260542","ok","34.2673504","0.014035","34.2813884"
"HHO","14","20260543","ok","35.1759071","0.0104745","35.1863852"
"HHO","15","20260544","ok","35.8676954","0.0115365","35.879235"
"HHO","16","20260545","ok","33.0424993","0.0114","33.0539036"
"HHO","17","20260546","ok","31.5488413","0.0121723","31.5610177"
"HHO","18","20260547","ok","33.2151547","0.0107205","33.2258781"
"HHO","19","20260548","ok","30.8270072","0.011138","30.8381493"
"HHO","20","20260549","ok","35.2775771","0.0120306","35.2896118"
"HHO","21","20260550","ok","33.2153424","0.0113508","33.2267342"
"HHO","22","20260551","ok","34.6081162","0.010381","34.6185486"
"HHO","23","20260552","ok","34.9103754","0.0220113","34.9323896"
"HHO","24","20260553","ok","32.5070961","0.0120679","32.5191671"
"HHO","25","20260554","ok","34.683356","0.0148726","34.6982314"
"HHO","26","20260555","ok","36.008777","0.0141202","36.0229009"
"HHO","27","20260556","ok","31.7876703","0.01124","31.7989138"
"HHO","28","20260557","ok","32.485668","0.011324","32.4969953"
