Algorithm,RunsOK,OptimizationRuntime_MeanSeconds,OptimizationRuntime_StdSeconds,TotalRuntime_MeanSeconds,TotalRuntime_StdSeconds,TotalRuntime_SumSeconds,Runtime_Rank
QHDBO,30,13.9953128933333,1.05117478581689,14.01216562,1.05438937530397,420.3649686,5
IDBO,30,26.69446271,0.412241366171647,26.70629674,0.412204626885654,801.1889022,10
DBO,30,15.0019968866667,2.30658880408662,15.0145536833333,2.3068684524643,450.4366105,8
WOA,30,14.7164325866667,1.02909100421578,14.7291340666667,1.0303712570932,441.874022,7
GWO,30,14.18607846,0.884503135865301,14.1995813433333,0.884551361519511,425.9874403,6
HHO,30,33.5934660433333,1.46493367809208,33.60566858,1.46529831095515,1008.1700574,11
EVO,30,20.8136381433333,6.70603433880606,20.8259434533333,6.70626643320062,624.7783036,9
PO,30,390.753495346667,14.5432744648339,390.766205353333,14.5445676996486,11722.9861606,12
NRBO,30,13.2235509033333,0.140084366587017,13.2366738466667,0.141020152166668,397.1002154,4
CPO,30,0.68461188,0.0424789515473041,0.69677872,0.0425101071287061,20.9033616,2
SWO,30,0.668889086666667,0.0338472985477498,0.68055993,0.0337886396580388,20.4167979,1
MSDBO,30,12.5012050233333,0.423486300453415,12.5128471033333,0.423733156625884,375.3854131,3
